uuid,question.name,old.value,new.value,parent.other.question,parent.other.answer,probleme,action
6d49065d-9bbe-40ee-a583-63c6604c4f5c,activite_agricole_perturbe,manque_semences manque_pluie manque_finance,manque_semences manque_pluie,NULL,NULL,manque de pluie dans une saison seche et agriculture contre saison,change
c7b25b59-9e22-422f-99c2-b6e67f83e3d6,activite_agricole_perturbe,insecurite manque_pluie,insecurite manque_pluie manque_finance,NULL,NULL,manque de pluie dans une saison seche et agriculture contre saison,change
a1cb1cc1-d5a7-4693-94ad-f6774b256362,edu_raisons,holidays,teacher_unavailable,NULL,NULL,s'agit-il bien des vacances ? Est-ce que y a des localites dans lesquelles jusqu'ici les eleves sont en vacances?,recode_all
d858bfe8-d3df-4149-83c3-95cf999cac2c,pas_nourriture_autre,Les sols sont pauvres,pas_de_terre,pas_nourriture_raison,pas_de_terre autre,others: to check if could be recoded,recode
0b3cd405-0333-4ab3-8980-419de30ebee0,pas_nourriture_autre,Pas suffisamment d'eau et des materiels pour pratiquer,prix_eleves manque_materiel,pas_nourriture_raison,prix_eleves autre,others: to check if could be recoded,recode
c497a718-29f2-486a-8ba7-e2c883c846be,abris_destruction_raison,inondations,NULL,NULL,NULL,"S'agit-il d'inondation causee par la crue d'un cours d'eau ou les eaux de pluies, au cours des 30 derniers jours?",check
11983e21-1a46-4216-926f-be702540c919,pas_nourriture_raison,plus_de_betail distrib_arretes pas_marche marche_limite prix_eleves,NULL,NULL,NULL,Pas de marche fonctionnel a distance de marche mais raison non acces a suffisamment de nourriture est : Le marche existe mais la disponibilite des produits est limitee,remove
c2ea06c2-1ee9-48fd-a46b-bac98b91559f,pas_nourriture_raison,marche_limite,NULL,NULL,NULL,Pas de marche fonctionnel a distance de marche mais raison non acces a suffisamment de nourriture est : Le marche existe mais la disponibilite des produits est limitee,remove
1234e21f-5ab2-4023-820c-bef5d744d6a1,tel_mobile,non,oui,NULL,NULL,"Pour la majorite de la population la pricipale source d'information est :Medias sociaux (Facebook, Whatsapp, etc.) / internet alors qu'a la question concernant l'acces aux telephones la reponse est non",change
ecdf42d8-3626-4f11-9878-394fb249e2e9,tel_mobile,non,oui,NULL,NULL,"Pour la majorite de la population la pricipale source d'information est :Medias sociaux (Facebook, Whatsapp, etc.) / internet alors qu'a la question concernant l'acces aux telephones la reponse est non",change
